usuario,ip,horario,resultado
alice,172.16.0.47,2025-05-26 02:55:32,Normal
bob,172.16.0.143,2025-05-26 15:35:06,Tentativa de Invasão
bob,172.16.0.53,2025-05-26 16:51:01,Normal
bob,10.0.0.212,2025-05-25 21:54:01,Tentativa de Invasão
carol,10.0.0.231,2025-05-25 22:18:26,Credencial Inválida
dave,192.168.0.246,2025-05-25 23:07:15,Credencial Inválida
alice,10.0.0.235,2025-05-26 03:30:48,Suspeito
alice,10.0.0.58,2025-05-25 22:57:45,Normal
alice,192.168.0.4,2025-05-26 05:57:02,Normal
bob,10.0.0.141,2025-05-26 03:45:05,Tentativa de Invasão
dave,10.0.0.130,2025-05-26 12:06:56,Normal
bob,172.16.0.54,2025-05-26 10:52:42,Suspeito
carol,192.168.0.25,2025-05-26 05:06:37,Suspeito
alice,10.0.0.148,2025-05-26 04:05:19,Tentativa de Invasão
bob,10.0.0.19,2025-05-26 18:55:17,Normal
alice,172.16.0.93,2025-05-26 14:15:10,Suspeito
alice,192.168.0.6,2025-05-26 04:46:29,Credencial Inválida
dave,172.16.0.244,2025-05-26 00:29:00,Tentativa de Invasão
carol,172.16.0.201,2025-05-26 18:44:24,Credencial Inválida
dave,172.16.0.136,2025-05-26 08:38:41,Normal
dave,192.168.0.222,2025-05-26 09:49:19,Normal
bob,172.16.0.23,2025-05-26 14:29:41,Normal
bob,10.0.0.95,2025-05-26 05:27:31,Normal
alice,10.0.0.169,2025-05-26 18:40:14,Suspeito
carol,10.0.0.159,2025-05-26 18:32:52,Suspeito
dave,172.16.0.108,2025-05-26 02:36:44,Credencial Inválida
alice,10.0.0.39,2025-05-26 11:55:42,Tentativa de Invasão
dave,10.0.0.221,2025-05-26 08:33:02,Tentativa de Invasão
alice,172.16.0.186,2025-05-26 11:12:10,Credencial Inválida
dave,192.168.0.116,2025-05-26 16:23:38,Tentativa de Invasão
carol,192.168.0.110,2025-05-25 21:24:41,Normal
bob,172.16.0.179,2025-05-26 07:23:39,Suspeito
carol,172.16.0.95,2025-05-26 02:14:30,Suspeito
alice,10.0.0.233,2025-05-26 12:59:34,Tentativa de Invasão
dave,192.168.0.66,2025-05-25 23:45:53,Normal
alice,172.16.0.147,2025-05-26 02:17:11,Suspeito
