usuario,ip,resultado,data_hora
user1@gmail.com,127.0.0.1,Normal,2025-05-20 08:30:12
user2@gmail.com,127.0.0.1,Normal,2025-05-20 08:45:33
user3@gmail.com,127.0.0.1,Normal,2025-05-20 09:00:01
user4@gmail.com,127.0.0.1,Credencial Inválida,2025-05-20 09:15:44
user5@gmail.com,127.0.0.1,Credencial Inválida,2025-05-20 09:16:02
user4@gmail.com,127.0.0.1,Credencial Inválida,2025-05-20 09:16:25
user4@gmail.com,127.0.0.1,Suspeito,2025-05-20 09:17:10
user6@gmail.com,127.0.0.1,Normal,2025-05-20 10:00:00
user7@gmail.com,127.0.0.1,Credencial Inválida,2025-05-20 10:05:11
user7@gmail.com,127.0.0.1,Credencial Inválida,2025-05-20 10:05:34
user7@gmail.com,127.0.0.1,Suspeito,2025-05-20 10:06:01
user7@gmail.com,127.0.0.1,Tentativa de Invasão,2025-05-20 10:06:27
user8@gmail.com,127.0.0.1,Normal,2025-05-20 11:00:00
user9@gmail.com,127.0.0.1,Tentativa de Invasão,2025-05-20 11:15:50
user10@gmail.com,127.0.0.1,Suspeito,2025-05-20 11:30:10
user11@gmail.com,127.0.0.1,Normal,2025-05-20 11:45:00
