usuario,ip,timestamp,resultado
admin@entregaplus.com,127.0.0.1,2025-05-19 19:10:00.302086,Normal
admin@entregaplus.com,127.0.0.1,2025-05-19 19:11:52.386413,Normal
paul@gmail.com,127.0.0.1,2025-05-19 19:15:23.568187,Normal
paul@gmail.com,127.0.0.1,2025-05-19 19:17:32.221944,Normal
paul@gmail.com,127.0.0.1,2025-05-19 19:17:32.226366,Credencial Inválida
admin@entregaplus.com,127.0.0.1,2025-05-19 19:17:50.067515,Normal
paul@gmail.com,127.0.0.1,2025-05-19 19:18:24.177071,Normal
paul@gmail.com,127.0.0.1,2025-05-19 19:18:24.179614,Credencial Inválida
paul@gmail.com,127.0.0.1,2025-05-19 19:18:27.429288,Normal
paul@gmail.com,127.0.0.1,2025-05-19 19:18:27.431872,Credencial Inválida
paul@gmail.com,127.0.0.1,2025-05-19 19:18:32.216143,Suspeito
paul@gmail.com,127.0.0.1,2025-05-19 19:18:45.193844,Suspeito
paul@gmail.com,127.0.0.1,2025-05-19 19:18:51.820716,Suspeito
paul@gmail.com,127.0.0.1,2025-05-19 19:18:56.256491,Suspeito
paul@gmail.com,127.0.0.1,2025-05-19 19:19:05.321636,Suspeito
paul@gmail.com,127.0.0.1,2025-05-19 19:19:12.699727,Suspeito
paul@gmail.com,127.0.0.1,2025-05-19 19:19:18.630488,Suspeito
paul@gmail.com,127.0.0.1,2025-05-19 19:19:29.985290,Suspeito
admin@entregaplus.com,127.0.0.1,2025-05-19 23:13:11.180772,Normal
leonard@gmail.com,127.0.0.1,2025-05-19 23:14:03.788825,Normal
leonard@gmail.com,127.0.0.1,2025-05-19 23:14:03.792049,Credencial Inválida
leonard@gmail.com,127.0.0.1,2025-05-19 23:14:08.366106,Normal
leonard@gmail.com,127.0.0.1,2025-05-19 23:14:19.409724,Normal
leonard@gmail.com,127.0.0.1,2025-05-19 23:14:19.412530,Credencial Inválida
leonard@gmail.com,127.0.0.1,2025-05-19 23:14:23.234505,Normal
leonard@gmail.com,127.0.0.1,2025-05-19 23:14:23.237419,Credencial Inválida
leonard@gmail.com,127.0.0.1,2025-05-19 23:14:27.598215,Suspeito
leonard@gmail.com,127.0.0.1,2025-05-19 23:14:30.410191,Suspeito
leonard@gmail.com,127.0.0.1,2025-05-19 23:14:35.391557,Suspeito
leonard@gmail.com,127.0.0.1,2025-05-19 23:14:38.125861,Suspeito
leonard@gmail.com,127.0.0.1,2025-05-19 23:14:40.722074,Suspeito
leonard@gmail.com,127.0.0.1,2025-05-19 23:14:47.071936,Suspeito
admin@entregaplus.com,127.0.0.1,2025-05-19 23:14:58.589070,Normal
admin@entregaplus.com,127.0.0.1,2025-05-19 23:14:58.592473,Credencial Inválida
admin@entregaplus.com,127.0.0.1,2025-05-19 23:15:07.406184,Normal
leonard@gmail.com,127.0.0.1,2025-05-19 23:32:00.814300,Tentativa de Invasão
leonard@gmail.com,127.0.0.1,2025-05-19 23:32:09.285551,Tentativa de Invasão
leonard@gmail.com,127.0.0.1,2025-05-19 23:32:14.625598,Tentativa de Invasão
leonard@gmail.com,127.0.0.1,2025-05-19 23:32:17.080172,Tentativa de Invasão
admin@entregaplus.com,127.0.0.1,2025-05-19 23:34:58.060592,Normal
admin@entregaplus.com,127.0.0.1,2025-05-19 23:34:58.065538,Credencial Inválida
admin@entregaplus.com,127.0.0.1,2025-05-19 23:35:02.098986,Normal
